Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
25/06/2007,AADS,0.34,0.31,0.34,0.34,0,0.34,0,,,0,
25/06/2007,ABL,0.12,0.12,0.12,0.12,0,0.12,0,0,0.12,0,
25/06/2007,ACI,0.03,0.02,0.02,0.02,0,0.02,0,,,0,
25/06/2007,AGA,30,30,30,30,0,30,0,,,0,
25/06/2007,ALW,0.75,0.73,0.74,0.74,0,0.74,0,0,0.74,0,
25/06/2007,AYRTN,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,
25/06/2007,BAT,0.43,0.33,0.43,0.43,0,0.43,0,,,0,
25/06/2007,BOPP,0.55,0.55,0.55,0.55,0,0.55,0,0,0.55,0,
25/06/2007,CAL,0.27,0.2,0.26,0.26,0,0.27,0.0054,0.27,0,"2,142,400.00",
25/06/2007,CFAO,0.04,0.04,0.04,0.04,0,0.04,0,,,0,
25/06/2007,CLYD,0.08,0.08,0.08,0.08,0,0.08,0,0,0.08,0,
25/06/2007,CMLT,0.17,0.17,0.17,0.17,0,0.17,0,0,0.17,0,
25/06/2007,CPC,0.05,0.05,0.05,0.05,0,0.05,0,0,0.05,"1,000.00",
25/06/2007,EBG,1.44,1.35,1.44,1.44,0,1.44,0,1.44,0,0,
25/06/2007,EIC,0.95,0.88,0.95,0.95,0,0.95,0,0.95,0,0,
25/06/2007,ETI,1.16,1.14,1.17,1.17,0,1.16,-0.005,0,1.16,"20,400.00",
25/06/2007,FML,1.96,1.8,1.96,1.96,0,1.96,0,1.96,0,0,
25/06/2007,GCB,0.68,0.61,0.68,0.68,0,0.68,0,,,"10,300.00",
25/06/2007,GGBL,0.95,0.9,0.95,0.95,0,0.95,0.0001,0.95,0,"2,800.00",
25/06/2007,GWEB,0.06,0.06,0.06,0.06,0,0.06,0,0,0.06,0,
25/06/2007,HFC,0.54,0.54,0.54,0.54,0,0.54,0,0,0.54,500,
25/06/2007,MLC,0.21,0.21,0.21,0.21,0,0.21,0,0,0.21,0,
25/06/2007,PBC,0.26,0.26,0.26,0.26,0,0.26,0,0,0.26,0,
25/06/2007,PKL,0.08,0.08,0.08,0.08,0,0.08,0,0,0.08,0,
25/06/2007,PZC,0.72,0.67,0.72,0.72,0,0.72,0,,,0,
25/06/2007,SCB,18.06,15.8,18.06,18.06,0,18.06,0,18.06,0,0,
25/06/2007,SCB PREF,0.52,0.52,0.52,0.52,0,0.52,0,,,0,
25/06/2007,SG-SSB,0.76,0.6,0.75,0.75,0,0.76,0.003,0.76,0,"1,200.00",
25/06/2007,SPL,0.06,0.06,0.06,0.06,0,0.06,0,0,0.06,0,
25/06/2007,SWL,0.03,0.03,0.03,0.03,0,0.03,0,,,0,
25/06/2007,TBL,1.33,1.33,1.33,1.33,0,1.33,0,,,0,
25/06/2007,TOTAL,5.46,5.4,5.46,5.46,0,5.46,0,5.45,0,0,
25/06/2007,TRANSOL,0.12,0.1,0.12,0.12,0,0.12,0,,,0,
25/06/2007,UNIL,1.9,1.5,1.9,1.9,0,1.9,0,,,"1,200.00",
26/06/2007,ACI,0.03,0.02,0.02,0.02,0,0.02,0,,,0,
26/06/2007,AGA,30,30,30,30,0,30,0,,,0,
26/06/2007,ALW,0.75,0.73,0.74,0.74,0,0.74,0,0,0.74,0,
26/06/2007,AYRTN,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,
26/06/2007,BAT,0.43,0.33,0.43,0.43,0,0.43,0,,,"3,000.00",
26/06/2007,BOPP,0.55,0.55,0.55,0.55,0,0.55,0,0,0.55,0,
26/06/2007,CAL,0.27,0.2,0.27,0.27,0,0.27,0.0002,0.27,0,"6,500.00",
26/06/2007,CFAO,0.04,0.04,0.04,0.04,0,0.04,0,0,0.04,0,
26/06/2007,CLYD,0.08,0.08,0.08,0.08,0,0.08,0,,,0,
26/06/2007,CMLT,0.17,0.17,0.17,0.17,0,0.17,0,,,0,
26/06/2007,CPC,0.05,0.05,0.05,0.05,0,0.05,0,0,0.05,0,
26/06/2007,EBG,1.44,1.35,1.44,1.44,0,1.44,0.001,1.44,0,"1,500.00",
26/06/2007,EIC,0.98,0.88,0.95,0.95,0,0.98,0.0255,0.95,0,"8,100.00",
26/06/2007,ETI,1.16,1.14,1.16,1.16,0,1.16,0,,,0,
26/06/2007,FML,1.96,1.8,1.96,1.96,0,1.96,0.0001,1.96,0,200,
26/06/2007,GCB,0.68,0.61,0.68,0.68,0,0.68,0,0.68,0,"1,600.00",
26/06/2007,GGBL,0.95,0.9,0.95,0.95,0,0.95,0.0001,0.95,0,500,
26/06/2007,GWEB,0.06,0.06,0.06,0.06,0,0.06,0,,,0,
26/06/2007,HFC,0.54,0.54,0.54,0.54,0,0.54,0,0,0.54,"2,000.00",
26/06/2007,MLC,0.21,0.21,0.21,0.21,0,0.21,0,0,0.21,0,
26/06/2007,PBC,0.26,0.26,0.26,0.26,0,0.26,0,0,0.26,0,
26/06/2007,PKL,0.08,0.08,0.08,0.08,0,0.08,0,,,0,
26/06/2007,PZC,0.72,0.67,0.72,0.72,0,0.72,0,,,0,
26/06/2007,SCB,18.06,15.8,18.06,18.06,0,18.06,0.0001,18.06,0,100,
26/06/2007,SCB PREF,0.52,0.52,0.52,0.52,0,0.52,0,,,0,
26/06/2007,SG-SSB,0.76,0.6,0.76,0.76,0,0.76,0.0015,0.76,0,"13,000.00",
26/06/2007,SPL,0.06,0.06,0.06,0.06,0,0.06,0,0,0.06,0,
26/06/2007,SWL,0.03,0.03,0.03,0.03,0,0.03,0,,,0,
26/06/2007,TBL,1.33,1.33,1.33,1.33,0,1.33,0,,,0,
26/06/2007,TOTAL,5.46,5.4,5.46,5.46,0,5.46,0,5.45,0,0,
26/06/2007,TRANSOL,0.12,0.1,0.12,0.12,0,0.12,0,0,0.12,0,
26/06/2007,UNIL,1.9,1.5,1.9,1.9,0,1.9,0,,,0,
27/06/2007,AADS,0.34,0.31,0.34,0.34,0,0.34,0,,,0,
27/06/2007,ABL,0.12,0.12,0.12,0.12,0,0.12,0,,,0,
27/06/2007,ACI,0.03,0.02,0.02,0.02,0,0.02,0,,,0,
27/06/2007,AGA,30,30,30,30,0,30,0,,,0,
27/06/2007,ALW,0.75,0.73,0.74,0.74,0,0.74,0,0,0.74,0,
27/06/2007,AYRTN,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0,
27/06/2007,BAT,0.43,0.33,0.43,0.43,0,0.43,0,,,"18,700.00",
27/06/2007,BOPP,0.55,0.55,0.55,0.55,0,0.55,0,0,0.55,0,
27/06/2007,CAL,0.27,0.2,0.27,0.27,0,0.27,0.0003,0.27,0,"6,000.00",
27/06/2007,CFAO,0.04,0.04,0.04,0.04,0,0.04,0,0.04,0,0,
27/06/2007,CLYD,0.08,0.08,0.08,0.08,0,0.08,0,0,0.08,0,
